Year,Gender,Cohort,State,drivers_sum
1994,Female,35-39,Missouri,194546
1994,Female,35-39,Montana,30119
1994,Female,35-39,Nebraska,63427
1994,Female,35-39,Nevada,56430
1994,Female,35-39,New Hampshire,54784
1994,Female,35-39,New Jersey,324747
1994,Female,35-39,New Mexico,69557
1994,Female,35-39,New York,583578
1994,Female,35-39,North Carolina,282896
1994,Female,35-39,North Dakota,24610
1994,Female,35-39,Ohio,370252
1994,Female,35-39,Oklahoma,127548
1994,Female,35-39,Oregon,136546
1994,Female,35-39,Pennsylvania,459898
1994,Female,35-39,Rhode Island,41039
1994,Female,35-39,South Carolina,145955
1994,Female,35-39,South Dakota,27829
1994,Female,35-39,Tennessee,211331
1994,Female,35-39,Texas,734829
1994,Female,35-39,Utah,68530
1994,Female,35-39,Vermont,26493
1994,Female,35-39,Virginia,287114
1994,Female,35-39,Washington,227179
1994,Female,35-39,West Virginia,69416
1994,Female,35-39,Wisconsin,205863
1994,Female,35-39,Wyoming,20357
1994,Female,40-44,Alabama,142956
1994,Female,40-44,Alaska,27247
1994,Female,40-44,Arizona,140499
1994,Female,40-44,Arkansas,85352
1994,Female,40-44,California,1073886
1994,Female,40-44,Colorado,157965
1994,Female,40-44,Connecticut,121374
1994,Female,40-44,Delaware,26336
1994,Female,40-44,District of Columbia,19090
1994,Female,40-44,Florida,522438
1994,Female,40-44,Georgia,268512
1994,Female,40-44,Hawaii,41635
1994,Female,40-44,Idaho,44131
1994,Female,40-44,Illinois,396572
1994,Female,40-44,Indiana,185863
1994,Female,40-44,Iowa,97192
1994,Female,40-44,Kansas,90881
1994,Female,40-44,Kentucky,133948
1994,Female,40-44,Louisiana,143169
1994,Female,40-44,Maine,50819
1994,Female,40-44,Maryland,188591
1994,Female,40-44,Massachusetts,219781
1994,Female,40-44,Michigan,352155
1994,Female,40-44,Minnesota,150163
1994,Female,40-44,Mississippi,85360
1994,Female,40-44,Missouri,176501
1994,Female,40-44,Montana,27715
1994,Female,40-44,Nebraska,57776
1994,Female,40-44,Nevada,51399
1994,Female,40-44,New Hampshire,47672
1994,Female,40-44,New Jersey,287033
1994,Female,40-44,New Mexico,63490
1994,Female,40-44,New York,526282
1994,Female,40-44,North Carolina,260243
1994,Female,40-44,North Dakota,22028
1994,Female,40-44,Ohio,319042
1994,Female,40-44,Oklahoma,117563
1994,Female,40-44,Oregon,138232
1994,Female,40-44,Pennsylvania,426145
1994,Female,40-44,Rhode Island,35329
1994,Female,40-44,South Carolina,135815
1994,Female,40-44,South Dakota,25375
1994,Female,40-44,Tennessee,196309
1994,Female,40-44,Texas,649503
1994,Female,40-44,Utah,61207
1994,Female,40-44,Vermont,25334
1994,Female,40-44,Virginia,258983
1994,Female,40-44,Washington,215998
1994,Female,40-44,West Virginia,66800
1994,Female,40-44,Wisconsin,187002
1994,Female,40-44,Wyoming,19323
1994,Female,45-49,Alabama,129339
1994,Female,45-49,Alaska,20078
1994,Female,45-49,Arizona,123594
1994,Female,45-49,Arkansas,77604
1994,Female,45-49,California,914753
1994,Female,45-49,Colorado,131486
1994,Female,45-49,Connecticut,112919
1994,Female,45-49,Delaware,23532
1994,Female,45-49,District of Columbia,16636
1994,Female,45-49,Florida,464669
1994,Female,45-49,Georgia,223103
1994,Female,45-49,Hawaii,35330
1994,Female,45-49,Idaho,37999
1994,Female,45-49,Illinois,345446
1994,Female,45-49,Indiana,143180
1994,Female,45-49,Iowa,82961
1994,Female,45-49,Kansas,76540
1994,Female,45-49,Kentucky,116548
1994,Female,45-49,Louisiana,123163
1994,Female,45-49,Maine,43812
1994,Female,45-49,Maryland,170222
1994,Female,45-49,Massachusetts,195062
1994,Female,45-49,Michigan,305250
1994,Female,45-49,Minnesota,128660
1994,Female,45-49,Mississippi,74734
1994,Female,45-49,Missouri,157542
1994,Female,45-49,Montana,22351
1994,Female,45-49,Nebraska,46526
1994,Female,45-49,Nevada,46790
1994,Female,45-49,New Hampshire,41229
1994,Female,45-49,New Jersey,263618
1994,Female,45-49,New Mexico,53276
1994,Female,45-49,New York,482073
1994,Female,45-49,North Carolina,232715
1994,Female,45-49,North Dakota,17651
1994,Female,45-49,Ohio,316564
1994,Female,45-49,Oklahoma,104531
1994,Female,45-49,Oregon,117573
1994,Female,45-49,Pennsylvania,376468
1994,Female,45-49,Rhode Island,30555
1994,Female,45-49,South Carolina,119963
1994,Female,45-49,South Dakota,20181
1994,Female,45-49,Tennessee,176239
1994,Female,45-49,Texas,548721
1994,Female,45-49,Utah,49574
1994,Female,45-49,Vermont,21252
1994,Female,45-49,Virginia,231685
1994,Female,45-49,Washington,185853
1994,Female,45-49,West Virginia,58002
1994,Female,45-49,Wisconsin,156925
1994,Female,45-49,Wyoming,15297
1994,Female,50-54,Alabama,100307
1994,Female,50-54,Alaska,13809
1994,Female,50-54,Arizona,97444
1994,Female,50-54,Arkansas,64844
1994,Female,50-54,California,678930
1994,Female,50-54,Colorado,94074
1994,Female,50-54,Connecticut,89252
1994,Female,50-54,Delaware,18726
1994,Female,50-54,District of Columbia,12161
1994,Female,50-54,Florida,378393
1994,Female,50-54,Georgia,163750
1994,Female,50-54,Hawaii,25503
1994,Female,50-54,Idaho,29300
1994,Female,50-54,Illinois,272688
1994,Female,50-54,Indiana,114808
1994,Female,50-54,Iowa,66184
1994,Female,50-54,Kansas,59589
1994,Female,50-54,Kentucky,91300
1994,Female,50-54,Louisiana,96383
1994,Female,50-54,Maine,32280
1994,Female,50-54,Maryland,130003
1994,Female,50-54,Massachusetts,146797
1994,Female,50-54,Michigan,239888
1994,Female,50-54,Minnesota,99422
1994,Female,50-54,Mississippi,59498
1994,Female,50-54,Missouri,128056
1994,Female,50-54,Montana,17146
1994,Female,50-54,Nebraska,36546
1994,Female,50-54,Nevada,38013
1994,Female,50-54,New Hampshire,29892
1994,Female,50-54,New Jersey,207928
1994,Female,50-54,New Mexico,40700
1994,Female,50-54,New York,380209
1994,Female,50-54,North Carolina,180569
1994,Female,50-54,North Dakota,13503
1994,Female,50-54,Ohio,256702
1994,Female,50-54,Oklahoma,85361
1994,Female,50-54,Oregon,87333
1994,Female,50-54,Pennsylvania,292381
1994,Female,50-54,Rhode Island,23355
1994,Female,50-54,South Carolina,92732
1994,Female,50-54,South Dakota,15981
1994,Female,50-54,Tennessee,138990
1994,Female,50-54,Texas,413401
1994,Female,50-54,Utah,37905
1994,Female,50-54,Vermont,15572
1994,Female,50-54,Virginia,174562
1994,Female,50-54,Washington,135375
1994,Female,50-54,West Virginia,44504
1994,Female,50-54,Wisconsin,121192
1994,Female,50-54,Wyoming,11844
1994,Female,55-59,Alabama,86185
1994,Female,55-59,Alaska,8625
1994,Female,55-59,Arizona,78436
1994,Female,55-59,Arkansas,54278
1994,Female,55-59,California,520533
1994,Female,55-59,Colorado,70859
1994,Female,55-59,Connecticut,67161
1994,Female,55-59,Delaware,14958
1994,Female,55-59,District of Columbia,8984
1994,Female,55-59,Florida,320355
1994,Female,55-59,Georgia,133882
1994,Female,55-59,Hawaii,18207
1994,Female,55-59,Idaho,23379
1994,Female,55-59,Illinois,215900
1994,Female,55-59,Indiana,99266
1994,Female,55-59,Iowa,57717
1994,Female,55-59,Kansas,49651
1994,Female,55-59,Kentucky,73989
1994,Female,55-59,Louisiana,78053
1994,Female,55-59,Maine,25967
1994,Female,55-59,Maryland,94970
1994,Female,55-59,Massachusetts,112073
1994,Female,55-59,Michigan,189202
1994,Female,55-59,Minnesota,79215
1994,Female,55-59,Mississippi,50837
1994,Female,55-59,Missouri,104606
1994,Female,55-59,Montana,13927
1994,Female,55-59,Nebraska,32094
1994,Female,55-59,Nevada,30219
1994,Female,55-59,New Hampshire,22906
1994,Female,55-59,New Jersey,159487
1994,Female,55-59,New Mexico,33222
1994,Female,55-59,New York,295192
1994,Female,55-59,North Carolina,147290
1994,Female,55-59,North Dakota,12141
1994,Female,55-59,Ohio,218219
1994,Female,55-59,Oklahoma,70950
1994,Female,55-59,Oregon,66163
1994,Female,55-59,Pennsylvania,241185
1994,Female,55-59,Rhode Island,18715
1994,Female,55-59,South Carolina,74300
1994,Female,55-59,South Dakota,13996
1994,Female,55-59,Tennessee,112917
1994,Female,55-59,Texas,320854
1994,Female,55-59,Utah,29847
1994,Female,55-59,Vermont,11839
1994,Female,55-59,Virginia,130686
1994,Female,55-59,Washington,99567
1994,Female,55-59,West Virginia,38716
1994,Female,55-59,Wisconsin,98783
1994,Female,55-59,Wyoming,9437
1994,Female,60-64,Alabama,76134
1994,Female,60-64,Alaska,6110
1994,Female,60-64,Arizona,70708
1994,Female,60-64,Arkansas,50715
1994,Female,60-64,California,443835
1994,Female,60-64,Colorado,61180
1994,Female,60-64,Connecticut,60471
1994,Female,60-64,Delaware,13950
1994,Female,60-64,District of Columbia,7698
1994,Female,60-64,Florida,313733
1994,Female,60-64,Georgia,112525
1994,Female,60-64,Hawaii,16641
1994,Female,60-64,Idaho,19933
1994,Female,60-64,Illinois,186483
1994,Female,60-64,Indiana,99069
1994,Female,60-64,Iowa,54143
1994,Female,60-64,Kansas,47149
1994,Female,60-64,Kentucky,64657
1994,Female,60-64,Louisiana,69004
1994,Female,60-64,Maine,24155
1994,Female,60-64,Maryland,79110
1994,Female,60-64,Massachusetts,104080
1994,Female,60-64,Michigan,169796
1994,Female,60-64,Minnesota,69035
1994,Female,60-64,Mississippi,45174
1994,Female,60-64,Missouri,95557
1994,Female,60-64,Montana,12612
1994,Female,60-64,Nebraska,30522
1994,Female,60-64,Nevada,26022
1994,Female,60-64,New Hampshire,20338
1994,Female,60-64,New Jersey,144360
1994,Female,60-64,New Mexico,29216
1994,Female,60-64,New York,260178
1994,Female,60-64,North Carolina,131674
1994,Female,60-64,North Dakota,11846
1994,Female,60-64,Ohio,196826
1994,Female,60-64,Oklahoma,66081
1994,Female,60-64,Oregon,60012
1994,Female,60-64,Pennsylvania,226446
1994,Female,60-64,Rhode Island,18372
1994,Female,60-64,South Carolina,66197
1994,Female,60-64,South Dakota,13937
1994,Female,60-64,Tennessee,99620
1994,Female,60-64,Texas,279567
1994,Female,60-64,Utah,26308
1994,Female,60-64,Vermont,10462
1994,Female,60-64,Virginia,109538
1994,Female,60-64,Washington,85268
1994,Female,60-64,West Virginia,35442
1994,Female,60-64,Wisconsin,89273
1994,Female,60-64,Wyoming,8516
1994,Female,65-69,Alabama,72054
1994,Female,65-69,Alaska,4517
1994,Female,65-69,Arizona,70170
1994,Female,65-69,Arkansas,48459
1994,Female,65-69,California,423165
1994,Female,65-69,Colorado,55750
1994,Female,65-69,Connecticut,59081
1994,Female,65-69,Delaware,13082
1994,Female,65-69,District of Columbia,7292
1994,Female,65-69,Florida,340621
1994,Female,65-69,Georgia,100858
1994,Female,65-69,Hawaii,15474
1994,Female,65-69,Idaho,18440
1994,Female,65-69,Illinois,176462
1994,Female,65-69,Indiana,96428
1994,Female,65-69,Iowa,53924
1994,Female,65-69,Kansas,46276
1994,Female,65-69,Kentucky,58707
1994,Female,65-69,Louisiana,63542
1994,Female,65-69,Maine,23509
1994,Female,65-69,Maryland,72966
1994,Female,65-69,Massachusetts,102075
1994,Female,65-69,Michigan,164984
1994,Female,65-69,Minnesota,66461
1994,Female,65-69,Mississippi,42214
1994,Female,65-69,Missouri,90637
1994,Female,65-69,Montana,12067
1994,Female,65-69,Nebraska,29195
1994,Female,65-69,Nevada,23874
1994,Female,65-69,New Hampshire,19738
1994,Female,65-69,New Jersey,140393
1994,Female,65-69,New Mexico,26606
1994,Female,65-69,New York,245870
1994,Female,65-69,North Carolina,122014
1994,Female,65-69,North Dakota,11521
1994,Female,65-69,Ohio,194383
1994,Female,65-69,Oklahoma,61766
1994,Female,65-69,Oregon,59863
1994,Female,65-69,Pennsylvania,233524
1994,Female,65-69,Rhode Island,19824
1994,Female,65-69,South Carolina,60313
1994,Female,65-69,South Dakota,13649
1994,Female,65-69,Tennessee,89991
1994,Female,65-69,Texas,251967
1994,Female,65-69,Utah,24121
1994,Female,65-69,Vermont,10055
1994,Female,65-69,Virginia,99703
1994,Female,65-69,Washington,81806
1994,Female,65-69,West Virginia,34666
1994,Female,65-69,Wisconsin,85480
1994,Female,65-69,Wyoming,7788
1994,Female,70-74,Alabama,59431
1994,Female,70-74,Alaska,3065
1994,Female,70-74,Arizona,64958
1994,Female,70-74,Arkansas,42534
1994,Female,70-74,California,363180
1994,Female,70-74,Colorado,46303
1994,Female,70-74,Connecticut,52359
1994,Female,70-74,Delaware,11076
1994,Female,70-74,District of Columbia,5884
1994,Female,70-74,Florida,317700
1994,Female,70-74,Georgia,79024
1994,Female,70-74,Hawaii,10737
1994,Female,70-74,Idaho,15939
1994,Female,70-74,Illinois,152597
1994,Female,70-74,Indiana,80677
1994,Female,70-74,Iowa,48368
1994,Female,70-74,Kansas,43523
1994,Female,70-74,Kentucky,47727
1994,Female,70-74,Louisiana,49626
1994,Female,70-74,Maine,20035
1994,Female,70-74,Maryland,61796
1994,Female,70-74,Massachusetts,88967
1994,Female,70-74,Michigan,142943
1994,Female,70-74,Minnesota,59652
1994,Female,70-74,Mississippi,34449
1994,Female,70-74,Missouri,79230
1994,Female,70-74,Montana,10656
1994,Female,70-74,Nebraska,25425
1994,Female,70-74,Nevada,17563
1994,Female,70-74,New Hampshire,16232
1994,Female,70-74,New Jersey,122422
1994,Female,70-74,New Mexico,21807
1994,Female,70-74,New York,202229
1994,Female,70-74,North Carolina,100363
1994,Female,70-74,North Dakota,10119
1994,Female,70-74,Ohio,163929
1994,Female,70-74,Oklahoma,55129
1994,Female,70-74,Oregon,56916
1994,Female,70-74,Pennsylvania,206055
1994,Female,70-74,Rhode Island,16237
1994,Female,70-74,South Carolina,51265
1994,Female,70-74,South Dakota,12217
1994,Female,70-74,Tennessee,75993
1994,Female,70-74,Texas,212779
1994,Female,70-74,Utah,21200
1994,Female,70-74,Vermont,8572
1994,Female,70-74,Virginia,84081
1994,Female,70-74,Washington,74752
1994,Female,70-74,West Virginia,20554
1994,Female,70-74,Wisconsin,74332
1994,Female,70-74,Wyoming,6695
1994,Female,75-79,Alabama,42078
1994,Female,75-79,Alaska,1194
1994,Female,75-79,Arizona,43685
1994,Female,75-79,Arkansas,30566
1994,Female,75-79,California,232796
1994,Female,75-79,Colorado,30927
1994,Female,75-79,Connecticut,38063
1994,Female,75-79,Delaware,6860
1994,Female,75-79,District of Columbia,3515
1994,Female,75-79,Florida,225213
1994,Female,75-79,Georgia,51197
1994,Female,75-79,Hawaii,5758
1994,Female,75-79,Idaho,11384
1994,Female,75-79,Illinois,100828
1994,Female,75-79,Indiana,53179
1994,Female,75-79,Iowa,36410
1994,Female,75-79,Kansas,34131
1994,Female,75-79,Kentucky,30908
1994,Female,75-79,Louisiana,30275
1994,Female,75-79,Maine,13936
1994,Female,75-79,Maryland,38923
1994,Female,75-79,Massachusetts,62176
1994,Female,75-79,Michigan,99359
1994,Female,75-79,Minnesota,46881
1994,Female,75-79,Mississippi,23747
1994,Female,75-79,Missouri,56548
1994,Female,75-79,Montana,8119
1994,Female,75-79,Nebraska,18456
1994,Female,75-79,Nevada,10826
1994,Female,75-79,New Hampshire,10941
1994,Female,75-79,New Jersey,83875
1994,Female,75-79,New Mexico,9424
1994,Female,75-79,New York,133836
1994,Female,75-79,North Carolina,64038
1994,Female,75-79,North Dakota,8394
1994,Female,75-79,Ohio,112812
1994,Female,75-79,Oklahoma,40178
1994,Female,75-79,Oregon,41396
1994,Female,75-79,Pennsylvania,141786
1994,Female,75-79,Rhode Island,10899
1994,Female,75-79,South Carolina,32185
1994,Female,75-79,South Dakota,9591
1994,Female,75-79,Tennessee,51302
1994,Female,75-79,Texas,142733
1994,Female,75-79,Utah,15371
1994,Female,75-79,Vermont,6408
1994,Female,75-79,Virginia,53322
1994,Female,75-79,Washington,51924
1994,Female,75-79,West Virginia,18686
1994,Female,75-79,Wisconsin,54536
1994,Female,75-79,Wyoming,4759
1994,Female,80-84,Alabama,25595
1994,Female,80-84,Alaska,689
1994,Female,80-84,Arizona,23846
1994,Female,80-84,Arkansas,18573
1994,Female,80-84,California,124602
1994,Female,80-84,Colorado,17456
1994,Female,80-84,Connecticut,19948
1994,Female,80-84,Delaware,3473
1994,Female,80-84,District of Columbia,1685
1994,Female,80-84,Florida,130913
1994,Female,80-84,Georgia,27561
1994,Female,80-84,Hawaii,2145
1994,Female,80-84,Idaho,6449
1994,Female,80-84,Illinois,42015
1994,Female,80-84,Indiana,37400
1994,Female,80-84,Iowa,22413
1994,Female,80-84,Kansas,21495
1994,Female,80-84,Kentucky,17098
1994,Female,80-84,Louisiana,15427
1994,Female,80-84,Maine,7840
1994,Female,80-84,Maryland,19271
1994,Female,80-84,Massachusetts,34522
1994,Female,80-84,Michigan,54515
1994,Female,80-84,Minnesota,29353
1994,Female,80-84,Mississippi,14239
1994,Female,80-84,Missouri,33597
1994,Female,80-84,Montana,4433
1994,Female,80-84,Nebraska,11784
1994,Female,80-84,Nevada,5312
1994,Female,80-84,New Hampshire,5936
1994,Female,80-84,New Jersey,44937
1994,Female,80-84,New Mexico,6650
1994,Female,80-84,New York,59934
1994,Female,80-84,North Carolina,33434
1994,Female,80-84,North Dakota,5289
1994,Female,80-84,Ohio,62227
1994,Female,80-84,Oklahoma,27995
1994,Female,80-84,Oregon,26854
1994,Female,80-84,Pennsylvania,73357
1994,Female,80-84,Rhode Island,5532
1994,Female,80-84,South Carolina,17109
1994,Female,80-84,South Dakota,6382
1994,Female,80-84,Tennessee,23416
1994,Female,80-84,Texas,88387
1994,Female,80-84,Utah,8822
1994,Female,80-84,Vermont,4186
1994,Female,80-84,Virginia,28718
1994,Female,80-84,Washington,29217
1994,Female,80-84,West Virginia,12457
1994,Female,80-84,Wisconsin,31803
1994,Female,80-84,Wyoming,2830
1994,Female,85+,Alabama,12115
1994,Female,85+,Alaska,502
1994,Female,85+,Arizona,9736
1994,Female,85+,Arkansas,8733
1994,Female,85+,California,49632
1994,Female,85+,Colorado,11332
1994,Female,85+,Connecticut,8392
1994,Female,85+,Delaware,1375
1994,Female,85+,District of Columbia,683
1994,Female,85+,Florida,58897
1994,Female,85+,Georgia,8679
1994,Female,85+,Hawaii,595
1994,Female,85+,Idaho,2982
1994,Female,85+,Illinois,26948
1994,Female,85+,Indiana,35336
1994,Female,85+,Iowa,10567
1994,Female,85+,Kansas,12276
1994,Female,85+,Kentucky,7010
1994,Female,85+,Louisiana,5495
